text,severity
"отказали тормоза, не могу остановиться",критическая
"педаль тормоза проваливается, тормозов нет",критическая
"стук в двигателе, громкий металлический звук",критическая
"давление в пневмосистеме упало до 3 атмосфер",критическая
"из двигателя идёт дым, запах гари",критическая
"автобус не реагирует на педаль газа, заглох на ходу",критическая
"разорвало колесо на скорости",критическая
"отказало рулевое управление, не поворачивается руль",критическая
"пожар в моторном отсеке, видно пламя",критическая
"автобус уходит в занос, нет сцепления с дорогой",критическая
"отказали стеклоочистители во время ливня, ничего не видно",критическая
"задымление в салоне, пассажиры паникуют",критическая
"разгерметизация пневмосистемы, автобус опускается",критическая
"нет давления в тормозном контуре",критическая
"педаль тормоза уходит в пол, тормозной жидкости нет",критическая
"открылся люк на ходу, пассажир едва не выпал",критическая
"перегрелся двигатель, температура в красной зоне",средняя
"двигатель греется, но пока в зелёной зоне",средняя
"двери заклинило, не открываются на остановке",средняя
"не работают фары, уже темнеет",средняя
"горит лампа check engine, тяга снижена",средняя
"задняя дверь открывается с задержкой, заедает механизм",средняя
"двигатель троит, вибрация на холостых",средняя
"падает уровень масла, подтекает прокладка",средняя
"скрежет при торможении, колодки изношены",средняя
"не работают поворотники, еду по маршруту",средняя
"кондиционер сломался, в салоне +35",средняя
"стук в подвеске на неровностях",средняя
"трещина на лобовом стекле, растёт",средняя
"запах топлива в салоне, утечки не видно",средняя
"дворники не работают, но дождь закончился",средняя
"спидометр показывает неверную скорость",средняя
"горит лампа check engine, но едет нормально",низкая
"фары не работают, но на улице светло",низкая
"дворники скрипят, но работают",низкая
"кондиционер не включается, в салоне душно",низкая
"сиденье водителя не фиксируется, отъезжает назад",низкая
"бардачок не закрывается, выпадают документы",низкая
"плафон освещения в салоне перегорел",низкая
"стеклоподъёмник на водительской двери заедает",низкая
"отклеилась резинка на двери, свист на скорости",низкая
"не работает USB-зарядка для телефона",низкая
"скрип в районе кабины при повороте руля",низкая
"царапина на боковом зеркале, обзор не нарушен",низкая
"заедает рычаг регулировки руля",низкая
"не работает радио, тишина в салоне",низкая
"люфт в рычаге КПП, передачи включаются",низкая
"треснул пластик на панели приборов",низкая
"запотевают стёкла, печка работает слабо",низкая
"стук в районе заднего моста при полной загрузке",средняя
"автобус тянет вправо при торможении",средняя
"не закрывается крышка бензобака",низкая
"вода в фаре, светят тускло",средняя
"дёргается стрелка температуры, то вверх то вниз",средняя
"отказал тахограф, не записывает скорость",средняя
"запах горелой проводки в кабине",критическая
"заклинило педаль газа в нажатом положении",критическая
"внезапно открылась передняя дверь на ходу",критическая
"отказал генератор, падает напряжение в сети",средняя
"стук в районе карданного вала",средняя
"не работают аварийные огни",средняя
